id (Event ID),commonName (Event Name),Classification,Source 1,Source 2,Source 3,
GW191113_071753-v1,GW191113_071753,Black Hole (High Mass),https://www.gw-openscience.org/eventapi/html/GWTC-3-confident/GW191113_071753/v1,https://iopscience.iop.org/article/10.3847/1538-4357/ac4d34,,
GW191126_115259-v1,GW191126_115259,Black Hole (Low Mass),https://www.gw-openscience.org/eventapi/html/GWTC-3-confident/GW191126_115259/v1,https://arxiv.org/pdf/2201.02813.pdf,,
GW191127_050227-v1,GW191127_050227,Black Hole (High Mass),https://www.gw-openscience.org/eventapi/html/GWTC-3-confident/GW191127_050227/v1,https://arxiv.org/pdf/2112.07847.pdf,,
GW191129_134029-v1,GW191129_134029,Black Hole (Low Mass),https://www.gw-openscience.org/eventapi/html/GWTC-3-confident/GW191129_134029/v1,https://newsbeezer.com/morroco/35-new-gravitational-waves-discovered-by-astronomers-a-record-catch/,,
GW191204_110529-v1,GW191204_110529,Black Hole (High Mass),https://www.gw-openscience.org/eventapi/html/GWTC-3-confident/GW191204_110529/v1,https://arxiv.org/pdf/2112.07847.pdff,https://dcc.ligo.org/public/0177/P2100239/010/o3_population.pdf,
GW191204_171526-v1,GW191204_171526,Black Hole (Low Mass),https://www.gw-openscience.org/eventapi/html/GWTC-3-confident/GW191204_171526/v1,https://www.researchgate.net/publication/357839948_Detector_Characterization_and_Mitigation_of_Noise_in_Ground-Based_Gravitational-Wave_Interferometers/figures?lo=1,https://cosmosmagazine.com/space/astrophysics/more-gravitational-waves-detected-than-ever-before/,
GW191215_223052-v1,GW191215_223052,Black Hole (High Mass),https://www.gw-openscience.org/eventapi/html/GWTC-3-confident/GW191215_223052/v1,https://dcc.ligo.org/public/0170/P2000318/008/o3b_catalog.pdff,,
GW191216_213338-v1,GW191216_213338,Black Hole (Low Mass),https://www.gw-openscience.org/eventapi/html/GWTC-3-confident/GW191216_213338/v1,https://www.researchgate.net/publication/355989222_GWTC-3_Compact_Binary_Coalescences_Observed_by_LIGO_and_Virgo_During_the_Second_Part_of_the_Third_Observing_Run,,
GW191219_163120-v1,GW191219_163120,Neutron Star + Black Hole,https://www.gw-openscience.org/eventapi/html/GWTC-3-confident/GW191219_163120/v1,https://arxiv.org/abs/2108.10184,https://twitter.com/hashtag/GW191219_163120?src=hashtag_click,
GW191222_033537-v1,GW191222_033537,Black Hole (High Mass),https://dcc.ligo.org/public/0170/P2000318/008/o3b_catalog.pdf,,,
GW191230_180458-v1,GW191230_180458,Black Hole (High Mass),https://www.gw-openscience.org/eventapi/html/GWTC-3-confident/GW191230_180458/v1,https://catalog.cardiffgravity.org/bhbubble,,
GW200112_155838-v1,GW200112_155838,Black Hole (High Mass),https://www.gw-openscience.org/eventapi/html/GWTC-3-confident/GW200112_155838/v11,https://catalog.cardiffgravity.org/bhbubblee,,
GW200115_042309-v2,GW200115_042309,Neutron Star + Black Hole,https://cplberry.com/2021/06/29/gw200115-gw200105/,,,
GW200128_022011-v1,GW200128_022011,Black Hole (High Mass),https://www.gw-openscience.org/eventapi/html/GWTC-3-confident/GW200128_022011/v1,https://catalog.cardiffgravity.org/bhbubble,,
GW200129_065458-v1,GW200129_065458,Black Hole (High Mass),https://www.gw-openscience.org/eventapi/html/GWTC-3-confident/GW200129_065458/v1,https://arxiv.org/abs/2201.01302,,
GW200202_154313-v1,GW200202_154313,Black Hole (Low Mass),https://www.gw-openscience.org/eventapi/html/GWTC-3-confident/GW200202_154313/v1,https://arxiv.org/pdf/2202.05092.pdf,,
GW200208_130117-v1,GW200208_130117,Black Hole (High Mass),https://www.gw-openscience.org/eventapi/html/GWTC-3-confident/GW200208_130117/v1,https://dcc.ligo.org/public/0170/P2000318/008/o3b_catalog.pdf,,
GW200208_222617-v1,GW200208_222617,Black Hole (High Mass),https://www.gw-openscience.org/eventapi/html/GWTC-3-confident/GW200208_222617/v1,https://www.ligo.org/science/Publication-O3bCatalog/,,
GW200209_085452-v1,GW200209_085452,Black Hole (High Mass),https://dcc.ligo.org/public/0170/P2000318/008/o3b_catalog.pdff,https://arxiv.org/pdf/2203.03651.pdf,,
GW200210_092254-v1,GW200210_092254,Black Hole (High Mass),https://www.gw-openscience.org/eventapi/html/GWTC-3-confident/GW200210_092254/v1,https://arxiv.org/abs/2112.07847,,
GW200216_220804-v1,GW200216_220804,Black Hole (High Mass),https://www.gw-openscience.org/eventapi/html/GWTC-3-confident/GW200216_220804/v1,https://catalog.cardiffgravity.org/bhbubblee,,
GW200219_094415-v1,GW200219_094415,Black Hole (High Mass),https://dcc.ligo.org/public/0170/P2000318/008/o3b_catalog.pdf,,,
GW200220_061928-v1,GW200220_061928,Black Hole (High Mass),https://www.gw-openscience.org/eventapi/html/GWTC-3-confident/GW200220_061928/v1,https://arxiv.org/pdf/2203.03651.pdf,,
GW200220_124850-v1,GW200220_124850,Black Hole (High Mass),https://www.gw-openscience.org/eventapi/html/GWTC-3-confident/GW200220_124850/v1,https://dcc.ligo.org/public/0170/P2000318/008/o3b_catalog.pdf,https://arxiv.org/pdf/2201.05220.pdf,
GW200224_222234-v1,GW200224_222234,Black Hole (High Mass),https://www.gw-openscience.org/eventapi/html/GWTC-3-confident/GW200224_222234/v1,https://dcc.ligo.org/public/0170/P2000318/008/o3b_catalog.pdff,,
GW200225_060421-v1,GW200225_060421,Black Hole (High Mass),https://www.gw-openscience.org/eventapi/html/GWTC-3-confident/GW200225_060421/v1,https://www.ligo.org/science/Publication-O3bCatalog/,,
GW200302_015811-v1,GW200302_015811,Black Hole (High Mass),https://www.gw-openscience.org/eventapi/html/GWTC-3-confident/GW200302_015811/v1,https://arxiv.org/pdf/2203.10080.pdf,,
GW200306_093714-v1,GW200306_093714,Black Hole (High Mass),https://www.gw-openscience.org/eventapi/html/GWTC-3-confident/GW200306_093714/v1,https://arxiv.org/pdf/2112.07847.pdf,,
GW200308_173609-v1,GW200308_173609,Black Hole (High Mass),https://www.gw-openscience.org/eventapi/html/GWTC-3-confident/GW200308_173609/v1,https://dcc.ligo.org/public/0170/P2000318/008/o3b_catalog.pdf,,
GW200311_115853-v1,GW200311_115853,Black Hole (High Mass),https://www.gw-openscience.org/eventapi/html/GWTC-3-confident/GW200311_115853/v1,https://dcc.ligo.org/public/0170/P2000318/007/o3b_catalog.pdf,,
GW200316_215756-v1,GW200316_215756,Black Hole (Low Mass),https://www.gw-openscience.org/eventapi/html/GWTC-3-confident/GW200316_215756/v1,https://arxiv.org/pdf/2203.10080.pdff,,
GW200322_091133-v1,GW200322_091133,Black Hole (High Mass),https://www.gw-openscience.org/eventapi/html/GWTC-3-confident/GW200322_091133/v1,https://dcc.ligo.org/public/0177/P2100239/010/o3_population.pdf,https://arxiv.org/pdf/2112.07847.pdf,
