id (Event ID),commonName (Event Name),Classification,version,catalog.shortName,GPS,Mass_1_source (solar masses),mass_1_source_upper_error,Mass_1_Upper Limit (solar masses),mass_1_source_lower_error,Mass_1_Lower Limit (solar masses),Mass_2_source,mass_2_source_upper_error,Mass_2_Upper_Limit (solar masses),mass_2_source_lower,Mass_2_Lower_Limit (solar masses),Q-value (Ratio of Masses),Q-Value_Upper Limit,Q-value_lower limit,SNR_network_matched_filter,network_matched_filter_snr_lower,network_matched_filter_snr_upper,luminosity_distance,luminosity_distance_lower,luminosity_distance_upper,chi_eff (Spin),chi_eff_lower_error,chi_eff_lower spin_limit,chi_eff_upper_error,chi_eff_upper spin_limit,total_mass_source,total_mass_source_lower,total_mass_source_upper,chirp_mass_source,chirp_mass_source_lower,chirp_mass_source_upper,chirp_mass,chirp_mass_lower,chirp_mass_upper,redshift,redshift_lower_error,redshift_lower_limit,redshift_upper,redshift_upper_limit,far,far_lower,far_upper,p_astro,p_astro_lower,p_astro_upper,final_mass_source,final_mass_source_lower,final_mass_source_upper
GW190519_153544-v1,GW190519_153544,Black Hole (High Mass),1,GWTC-2,1242315362,66,10.7,76.7,-12,54,40.5,11,51.5,-11.1,29.4,0.6136363636,0.9537037037,0.5444444444,12.04985271,,,2530,-920,1830,0.31,-0.22,0.53,0.2,0.51,106.6,-14.8,13.5,44.5,-7.1,6.4,65.1,-10.3,7.7,0.44,-0.14,0.3,0.25,0.69,1.00E-05,,,0.999998,,,101,-13.8,12.4
GW190521-v3,GW190521,Black Hole (High Mass),3,GWTC-2,1242442967,95.3,28.7,124,-18.9,76.4,69,22.7,91.7,-23.1,45.9,0.7240293809,1.20026178,0.6007853403,14.37604605,,,3920,-1950,2190,0.03,-0.39,0.42,0.32,0.35,163.9,-23.5,39.2,69.2,-10.6,17,114.8,-17.6,15.2,0.64,-0.28,0.36,0.28,0.92,0.000203964,,,,,,156.3,-22.4,36.8
GW190521_074359-v1,GW190521_074359,Black Hole (High Mass),1,GWTC-2,1242459858,42.2,5.9,48.1,-4.8,37.4,32.8,5.4,38.2,-6.4,26.4,0.7772511848,1.021390374,0.7058823529,24.38410872,,,1240,-570,400,0.09,-0.13,0.22,0.1,0.19,74.7,-4.8,7,32.1,-2.5,3.2,39.8,-3,2.2,0.24,-0.1,0.14,0.07,0.31,1.00E-05,,,1,,,71,-4.4,6.5
GW190527_092055-v1,GW190527_092055,Black Hole (High Mass),1,GWTC-2,1242984074,36.5,16.4,52.9,-9,27.5,22.6,10.5,33.1,-8.1,14.5,0.6191780822,1.203636364,0.5272727273,8.867476218,,,2490,-1240,2480,0.11,-0.28,0.39,0.28,0.39,59.1,-9.8,21.3,24.3,-4.2,9.1,34.9,-5.5,21.7,0.44,-0.2,0.24,0.34,0.78,0.062270351,,,0.988513,,,56.4,-9.3,20.2
GW190602_175927-v1,GW190602_175927,Black Hole (High Mass),1,GWTC-2,1243533585,69.1,15.7,84.8,-13,56.1,47.8,14.3,62.1,-17.4,30.4,0.6917510854,1.106951872,0.5418894831,12.13087549,,,2690,-1120,1790,0.07,-0.24,0.31,0.25,0.32,116.3,-15.6,19,49.1,-8.5,9.1,72.9,-13.7,10.8,0.47,-0.17,0.3,0.25,0.72,1.15E-05,,,0.999994,,,110.9,-14.9,17.7
GW190620_030421-v1,GW190620_030421,Black Hole (High Mass),1,GWTC-2,1245035079,57.1,16,73.1,-12.7,44.4,35.5,12.2,47.7,-12.3,23.2,0.6217162872,1.074324324,0.5225225225,10.91846315,,,2810,-1310,1680,0.33,-0.25,0.58,0.22,0.55,92.1,-13.1,18.5,38.3,-6.5,8.3,57.5,-11.2,9,0.49,-0.2,0.29,0.23,0.72,0.002920938,,,0.999133,,,87.2,-12.1,16.8
GW190630_185205-v1,GW190630_185205,Black Hole (High Mass),1,GWTC-2,1245955943,35.1,6.9,42,-5.6,29.5,23.7,5.2,28.9,-5.1,18.6,0.6752136752,0.9796610169,0.6305084746,15.64051209,,,890,-370,560,0.1,-0.13,0.23,0.12,0.22,59.1,-4.8,4.6,24.9,-2.1,2.1,29.4,-1.5,1.6,0.18,-0.07,0.11,0.1,0.28,1.00E-05,,,1,,,56.4,-4.6,4.4
GW190701_203306-v1,GW190701_203306,Black Hole (High Mass),1,GWTC-2,1246048405,53.9,11.8,65.7,-8,45.9,40.8,8.7,49.5,-12,28.8,0.7569573284,1.078431373,0.6274509804,11.58996006,,,2060,-730,760,-0.07,-0.29,0.22,0.23,0.3,94.3,-9.5,12.1,40.3,-4.9,5.4,55.5,-8.1,7.3,0.37,-0.12,0.25,0.11,0.48,0.010861369,,,0.997879,,,90.2,-8.9,11.3
GW190706_222641-v1,GW190706_222641,Black Hole (High Mass),1,GWTC-2,1246487219,67,14.6,81.6,-16.2,50.8,38.2,14.6,52.8,-13.3,24.9,0.5701492537,1.039370079,0.4901574803,12.34834506,,,4420,-1930,2590,0.28,-0.29,0.57,0.26,0.54,104.1,-13.9,20.2,42.7,-7,10,75.1,-17.5,11,0.71,-0.27,0.44,0.32,1.03,1.00E-05,,,1,,,99,-13.5,18.3
GW190707_093326-v1,GW190707_093326,PBH Candidate ,1,GWTC-2,1246527224,11.6,3.3,14.9,-1.7,9.9,8.4,1.4,9.8,-1.7,6.7,0.724137931,0.9898989899,0.6767676768,12.97817936,,,770,-370,380,-0.05,-0.08,0.03,0.1,0.15,20.1,-1.3,1.9,8.5,-0.5,0.6,9.89,-0.09,0.1,0.16,-0.07,0.09,0.07,0.23,1.00E-05,,,1,,,19.2,-1.3,1.9
GW190708_232457-v1,GW190708_232457,Black Hole (High Mass),1,GWTC-2,1246663515,17.6,4.7,22.3,-2.3,15.3,13.2,2,15.2,-2.7,10.5,0.75,0.9934640523,0.6862745098,13.0713007,,,880,-390,330,0.02,-0.08,0.1,0.1,0.12,30.9,-1.8,2.5,13.2,-0.6,0.9,15.5,-0.2,0.3,0.18,-0.07,0.11,0.06,0.24,2.83E-05,,,0.999988,,,29.5,-1.8,2.5
GW190719_215514-v1,GW190719_215514,Black Hole (High Mass),1,GWTC-2,1247608533,36.5,18,54.5,-10.3,26.2,20.8,9,29.8,-7.2,13.6,0.5698630137,1.13740458,0.5190839695,7.993907515,,,3940,-2000,2590,0.32,-0.31,0.63,0.29,0.61,57.8,-10.7,18.3,23.5,-4,6.5,38.7,-6.6,9.2,0.64,-0.29,0.35,0.33,0.97,1.559222129,,,0.81555,,,54.9,-10.2,17.3
GW190720_000836-v1,GW190720_000836,Black Hole (Low Mass),1,GWTC-2,1247616535,13.4,6.7,20.1,-3,10.4,7.8,2.3,10.1,-2.2,5.6,0.5820895522,0.9711538462,0.5384615385,11.69609782,,,790,-320,690,0.18,-0.12,0.3,0.14,0.32,21.5,-2.3,4.3,8.9,-0.8,0.5,10.4,-0.1,0.2,0.16,-0.06,0.1,0.12,0.28,1.00E-05,,,1,,,20.4,-2.2,4.5
GW190725_174728-v1,GW190725_174728,Black Hole (Low Mass),1,GWTC-2.1-confident,1248112066,11.5,6.2,17.7,-2.7,8.8,6.4,2,8.4,-2,4.4,0.5565217391,0.9545454545,0.5,9.074,,,1050,-460,570,-0.04,-0.14,0.1,0.26,0.3,18.2,-1.8,4.2,7.4,-0.5,0.6,,,,0.21,-0.09,0.12,0.1,0.31,0.46,,,0.96021,,,17.4,-1.8,4.4
GW190727_060333-v1,GW190727_060333,Black Hole (Low Mass),1,GWTC-2,1248242632,38,9.5,47.5,-6.2,31.8,29.4,7.1,36.5,-8.4,21,0.7736842105,1.147798742,0.6603773585,12.29941092,,,3300,-1500,1540,0.11,-0.25,0.36,0.26,0.37,67.1,-8,11.7,28.6,-3.7,5.3,44.7,-5.7,5.3,0.55,-0.22,0.33,0.21,0.76,1.00E-05,,,1,,,63.8,-7.5,10.9
GW190728_064510-v1,GW190728_064510,Black Hole (Low Mass),1,GWTC-2,1248331529,12.3,7.2,19.5,-2.2,10.1,8.1,1.7,9.8,-2.6,5.5,0.6585365854,0.9702970297,0.5445544554,13.64274848,,,870,-370,260,0.12,-0.07,0.19,0.2,0.32,20.6,-1.3,4.5,8.6,-0.3,0.5,10.1,-0.08,0.09,0.18,-0.07,0.11,0.05,0.23,1.00E-05,,,1,,,19.6,-1.3,4.7
GW190731_140936-v1,GW190731_140936,Black Hole (High Mass),1,GWTC-2,1248617395,41.5,12.2,53.7,-9,32.5,28.8,9.7,38.5,-9.5,19.3,0.6939759036,1.184615385,0.5938461538,8.460146466,,,3300,-1720,2390,0.06,-0.24,0.3,0.24,0.3,70.1,-11.3,15.8,29.5,-5.2,7.1,46.6,-8.2,6.8,0.55,-0.26,0.29,0.31,0.86,0.205842123,,,0.966501,,,67,-10.8,14.6
GW190803_022701-v1,GW190803_022701,Black Hole (High Mass),1,GWTC-2,1248834440,37.3,10.6,47.9,-7,30.3,27.3,7.8,35.1,-8.2,19.1,0.7319034853,1.158415842,0.6303630363,8.614396126,,,3270,-1580,1950,-0.03,-0.27,0.24,0.24,0.27,64.5,-9,12.6,27.3,-4.1,5.7,42.7,-6.1,6.3,0.55,-0.24,0.31,0.26,0.81,0.026934317,,,0.99411,,,61.7,-8.5,11.8
GW190805_211137-v1,GW190805_211137,Black Hole (High Mass),1,GWTC-2.1-confident,1249074715,48.2,17.5,65.7,-12.5,35.7,32,13.4,45.4,-11.4,20.6,0.6639004149,1.271708683,0.5770308123,8.2505,,,5310,-2950,4100,0.35,-0.36,0.71,0.3,0.65,80.1,-16.1,22.5,33.5,-7,10.1,,,,0.82,-0.4,0.42,0.48,1.3,0.63,,,0.95372,,,75.8,-15.3,21.2
GW190814-v2,GW190814,PBH Candidate,2,GWTC-2,1249852257,23.2,1.1,24.3,-1,22.2,2.59,0.08,2.67,-0.09,2.5,0.111637931,0.1202702703,0.1126126126,22.17523326,,,240,-50,40,0,-0.001,0.001,0.002,0.002,25.8,-0.9,1,6.09,-0.06,0.06,6.41,-0.02,0.02,0.05,-0.01,0.04,0.009,0.059,1.00E-05,,,1,,,25.6,-0.9,1.1
GW190828_063405-v1,GW190828_063405,Black Hole (Low Mass),1,GWTC-2,1251009264,32.1,5.8,37.9,-4,28.1,26.2,4.6,30.8,-4.8,21.4,0.8161993769,1.096085409,0.7615658363,16.03592292,,,2130,-930,660,0.19,-0.16,0.35,0.15,0.34,58,-4.8,7.7,25,-2.1,3.4,34.5,-2.8,2.9,0.38,-0.15,0.23,0.1,0.48,1.00E-05,,,1,,,54.9,-4.3,7.2
GW190828_065509-v1,GW190828_065509,Black Hole (Low Mass),1,GWTC-2,1251010528,24.1,7,31.1,-7.2,16.9,10.2,3.6,13.8,-2.1,8.1,0.4232365145,0.8165680473,0.4792899408,11.12790887,,,1600,-600,620,0.08,-0.16,0.24,0.16,0.24,34.4,-4.4,5.4,13.3,-1,1.2,17.4,-0.7,0.6,0.3,-0.1,0.2,0.1,0.4,1.00E-05,,,1,,,33.1,-4.5,5.5
GW190910_112807-v1,GW190910_112807,Black Hole (Low Mass),1,GWTC-2,1252150105,43.9,7.6,51.5,-6.1,37.8,35.6,6.3,41.9,-7.2,28.4,0.8109339408,1.108465608,0.7513227513,13.41737344,,,1460,-580,1030,0.02,-0.18,0.2,0.18,0.2,79.6,-9.1,9.3,34.3,-4.1,4.1,43.9,-3.6,4.6,0.28,-0.1,0.18,0.16,0.44,1.89E-05,,,0.999988,,,75.8,-8.6,8.5
GW190915_235702-v1,GW190915_235702,Black Hole (Low Mass),1,GWTC-2,1252627041,35.3,9.5,44.8,-6.4,28.9,24.4,5.6,30,-6.1,18.3,0.6912181303,1.038062284,0.6332179931,13.07209167,,,1620,-610,710,0.02,-0.25,0.27,0.2,0.22,59.9,-6.4,7.5,25.3,-2.7,3.2,33.1,-3.9,3.3,0.3,-0.1,0.2,0.11,0.41,1.00E-05,,,1,,,57.2,-6,7.1
GW190916_200658-v1,GW190916_200658,Black Hole (High Mass),1,GWTC-2.1-confident,1252699637,44.3,21.2,65.5,-13.3,31,23.9,12.7,36.6,-10.2,13.7,0.539503386,1.180645161,0.4419354839,8.208,,,4460,-2520,3790,0.18,-0.29,0.47,0.33,0.51,68.9,-14,21,27.3,-5.5,9.3,,,,0.71,-0.36,0.35,0.46,1.17,6900,,,0.65727,,,65.7,-13.4,19.8
GW190917_114630-v1,GW190917_114630,PBH Candidate,1,GWTC-2.1-confident,1252756008,9.3,3.4,12.7,-4.4,4.9,2.1,1.5,3.6,-0.5,1.6,0.2258064516,0.7346938776,0.3265306122,9.4556,,,720,-310,340,-0.11,-0.49,0.38,0.24,0.35,11.4,-2.9,3,3.7,-0.2,0.2,,,,0.15,-0.06,0.09,0.06,0.21,0.66,,,0.76643,,,11.2,-2.9,3
GW190924_021846-v1,GW190924_021846,PBH Candidate,1,GWTC-2,1253326745,8.9,7,15.9,-2,6.9,5,1.4,6.4,-1.9,3.1,0.5617977528,0.9275362319,0.4492753623,13.15903752,,,570,-220,220,0.03,-0.09,0.12,0.3,0.33,13.9,-1,5.1,5.8,-0.2,0.2,6.44,-0.03,0.04,0.12,-0.04,0.08,0.04,0.16,1.00E-05,,,1,,,13.3,-1,5.2
GW190925_232845-v1,GW190925_232845,Black Hole (Low Mass),1,GWTC-2.1-confident,1253489343,21.2,6.9,28.1,-3.1,18.1,15.6,2.6,18.2,-3.6,12,0.7358490566,1.005524862,0.6629834254,9.8838,,,930,-350,380,0.11,-0.14,0.25,0.17,0.28,37,-2.6,3.8,15.8,-1,1.1,,,,0.19,-0.07,0.12,0.07,0.26,0.0072,,,0.98849,,,35.2,-2.4,3.8
GW190926_050336-v1,GW190926_050336,Black Hole (High Mass),1,GWTC-2.1-confident,1253509434,39.8,20.6,60.4,-11.1,28.7,23.2,10.8,34,-9.7,13.5,0.5829145729,1.18466899,0.4703832753,9.0049,,,3780,-2000,3170,-0.04,-0.33,0.29,0.28,0.32,62.9,-11.9,22.7,25.6,-5.3,8.8,,,,0.62,-0.29,0.33,0.4,1.02,1.1,,,0.54334,,,60.5,-11.6,21.8
GW190929_012149-v1,GW190929_012149,Black Hole (High Mass),1,GWTC-2,1253755328,80.8,33,113.8,-33.2,47.6,24.1,19.3,43.4,-10.6,13.5,0.2982673267,0.9117647059,0.2836134454,9.875628916,,,2130,-1050,3650,0.01,-0.33,0.34,0.34,0.35,104.3,-25.2,34.9,35.8,-8.2,14.9,52.2,-15.4,19.9,0.38,-0.17,0.21,0.49,0.87,0.020161444,,,0.995693,,,101.5,-25.3,33.6
GW190930_133541-v1,GW190930_133541,Black Hole (Low Mass),1,GWTC-2,1253885759,12.3,12.4,24.7,-2.3,10,7.8,1.7,9.5,-3.3,4.5,0.6341463415,0.95,0.45,9.837638319,,,760,-320,360,0.14,-0.15,0.29,0.31,0.45,20.3,-1.5,8.9,8.5,-0.5,0.5,9.8,-0.2,0.2,0.15,-0.06,0.09,0.06,0.21,0.033092198,,,0.99373,,,19.4,-1.5,9.2
